,1_0,1_1,2_0,2_1,3_0,3_1,4_0,4_1,5_0,5_1
0,5,5.0,5,5,4.0,5,5,5,,
1,1,1.0,1,1,1.0,2,1,1,,
2,5,4.0,1,4,2.0,5,4,5,,
3,5,4.0,5,5,5.0,5,5,5,,
4,5,4.0,5,3,4.0,5,4,3,,
5,5,5.0,5,5,4.0,5,5,5,,
6,5,4.0,5,4,4.0,5,5,5,,
7,2,2.0,2,2,1.0,5,2,2,,
8,3,2.0,4,2,4.0,4,3,1,,
9,5,5.0,5,5,4.0,5,5,5,,
10,3,2.0,3,4,4.0,4,4,4,,
11,4,2.0,3,3,4.0,5,2,2,,
12,3,3.0,5,4,4.0,4,3,2,,
13,5,5.0,5,5,4.0,5,4,5,,
14,4,3.0,5,5,4.0,5,3,4,,
15,1,1.0,1,1,1.0,1,1,1,,
16,1,1.0,2,1,1.0,1,2,2,,
17,4,5.0,5,5,4.0,5,5,5,,
18,4,4.0,4,5,2.0,5,3,4,,
19,5,5.0,4,4,4.0,4,4,5,,
20,4,4.0,5,4,5.0,2,4,3,,
21,1,1.0,1,1,1.0,1,1,1,,
22,4,3.0,4,2,3.0,4,4,2,,
23,2,2.0,2,2,4.0,1,1,2,,
24,5,5.0,2,5,4.0,5,2,5,,
25,2,2.0,2,1,1.0,4,1,2,,
26,5,5.0,5,4,4.0,5,4,5,,
27,5,5.0,3,5,4.0,5,2,5,,
28,5,3.0,5,5,4.0,5,3,5,,
29,3,3.0,3,5,4.0,5,1,4,,
30,1,2.0,1,1,1.0,2,3,3,,
31,4,4.0,5,5,4.0,2,5,5,,
32,5,5.0,5,5,4.0,2,5,5,,
33,5,4.0,5,4,4.0,5,4,4,,
34,5,5.0,5,5,5.0,5,5,5,,
35,5,5.0,5,5,4.0,5,5,5,,
36,5,5.0,5,5,4.0,5,3,4,,
37,2,2.0,1,2,2.0,2,2,2,,
38,5,2.0,2,5,5.0,4,4,4,,
39,3,3.0,5,5,4.0,4,2,5,,
40,5,2.0,4,5,5.0,5,4,3,,
41,2,2.0,2,2,2.0,2,2,2,,
42,5,4.0,5,5,2.0,1,4,5,,
43,2,2.0,2,4,5.0,2,3,4,,
44,1,3.0,1,2,2.0,2,2,3,,
45,2,2.0,4,4,5.0,4,5,5,,
46,5,5.0,5,4,5.0,5,4,5,,
47,2,2.0,2,4,4.0,5,2,3,,
48,2,3.0,5,2,4.0,2,2,4,,
49,5,5.0,5,4,5.0,5,3,5,,
