,1_0,1_1,2_0,2_1,3_0,3_1,4_0,4_1
0,1.0,1,1,1,4,1,2,2
1,4.0,3,5,5,5,5,3,2
2,3.0,3,5,5,5,5,2,2
3,3.0,4,5,4,5,5,3,3
4,2.0,2,1,1,4,5,2,2
5,3.0,2,2,5,5,5,5,4
6,3.0,5,5,2,5,5,3,3
7,4.0,5,5,5,5,5,4,3
8,3.0,4,5,5,5,5,3,3
9,4.0,4,5,2,5,4,3,3
10,3.0,2,2,2,4,4,4,2
11,3.0,3,5,2,5,5,3,2
12,4.0,4,2,1,4,4,4,3
13,3.0,3,5,5,5,5,3,2
14,3.0,4,1,1,4,2,2,3
15,4.0,3,5,4,4,4,4,3
16,2.0,2,5,4,5,4,1,1
17,3.0,2,2,1,4,4,3,3
18,4.0,4,5,5,5,5,3,3
19,3.0,3,5,4,5,5,5,4
20,4.0,3,1,2,4,2,3,3
21,4.0,3,5,4,5,5,3,3
22,3.0,3,5,3,5,5,3,3
23,2.0,2,5,4,5,5,3,2
24,4.0,4,5,5,5,5,3,3
25,4.0,3,5,5,5,5,2,2
26,4.0,4,5,5,5,5,3,3
27,4.0,3,5,5,5,5,3,3
28,3.0,3,5,3,5,5,3,3
29,4.0,4,5,4,5,5,3,3
30,4.0,3,5,5,5,5,3,2
31,3.0,3,5,5,5,5,3,3
32,4.0,4,5,5,5,5,4,4
33,3.0,3,2,4,5,5,3,3
34,2.0,2,5,3,5,5,3,2
35,4.0,3,2,1,4,2,3,2
36,5.0,4,1,1,4,4,4,3
37,4.0,4,5,4,5,4,3,3
38,4.0,3,5,5,5,5,3,2
39,4.0,3,1,1,5,2,4,3
40,4.0,3,5,5,5,5,4,3
41,4.0,4,2,4,5,5,3,3
42,3.0,2,1,1,4,1,3,2
43,4.0,3,5,3,5,5,3,2
44,3.0,3,5,5,5,5,4,3
45,1.0,3,1,1,4,3,3,2
46,3.0,3,5,4,5,5,3,2
47,3.0,3,5,4,5,4,4,3
48,3.0,3,3,3,5,5,3,3
49,4.0,3,2,1,4,1,3,3
