,1_0,1_1,2_0,2_1,3_0,3_1,4_0,4_1,5_0,5_1
0,5,5,2,3,4,5,5,5,,
1,5,5,1,5,5,5,5,5,,
2,5,5,1,1,2,4,5,5,,
3,5,5,5,4,5,5,4,5,,
4,5,5,4,4,4,5,4,5,,
5,5,5,5,4,5,5,5,5,,
6,5,5,5,5,5,5,5,5,,
7,5,5,5,2,4,5,5,5,,
8,4,4,5,3,4,5,5,5,,
9,5,5,5,5,5,5,5,5,,
10,5,5,5,5,5,5,4,4,,
11,5,2,2,2,2,4,5,5,,
12,5,5,1,1,2,1,4,5,,
13,5,4,1,1,1,1,4,5,,
14,5,5,5,5,5,5,5,5,,
15,5,5,2,4,5,5,5,5,,
16,5,5,5,5,5,5,5,5,,
17,5,5,5,5,5,5,5,5,,
18,5,5,5,4,4,2,5,5,,
19,5,5,4,4,4,5,4,4,,
20,5,5,1,4,5,5,5,5,,
21,5,5,5,5,5,5,5,5,,
22,5,5,5,3,2,1,5,5,,
23,5,3,5,3,2,1,4,5,,
24,5,5,5,5,5,5,5,5,,
25,5,5,5,5,5,5,5,5,,
26,5,3,5,5,5,5,5,5,,
27,5,5,1,1,5,5,5,5,,
28,5,5,5,5,5,5,5,5,,
29,5,5,5,5,5,5,5,5,,
30,5,4,5,5,5,5,5,5,,
31,5,5,5,5,1,5,4,4,,
32,5,5,2,3,2,5,5,5,,
33,5,5,5,5,5,5,5,5,,
34,5,4,2,2,4,1,5,5,,
35,5,5,5,5,5,5,5,5,,
36,5,5,5,5,5,5,5,5,,
37,5,5,1,1,1,1,5,5,,
38,5,5,5,5,5,5,5,5,,
39,5,5,2,5,5,5,5,5,,
40,3,3,5,3,2,5,4,4,,
41,5,5,5,5,5,5,5,4,,
42,5,5,2,2,4,5,5,5,,
43,4,4,5,2,2,5,5,2,,
44,5,5,1,3,2,1,5,5,,
45,5,5,1,1,2,5,5,5,,
46,4,2,1,2,5,5,3,3,,
47,5,5,5,4,4,5,5,5,,
48,5,5,2,3,4,5,5,4,,
49,5,4,2,2,2,5,5,5,,
