,1_0,1_1,2_0,2_1,3_0,3_1,4_0,4_1
0,5.0,5,2,1,2,4,5,5
1,5.0,5,5,5,5,5,5,5
2,5.0,5,5,5,2,5,5,5
3,5.0,5,5,5,4,5,5,5
4,4.0,5,1,2,2,2,5,5
5,4.0,3,2,5,5,5,4,5
6,5.0,5,5,2,5,5,5,5
7,4.0,5,5,5,5,5,4,5
8,5.0,5,5,5,5,5,5,5
9,5.0,5,5,2,2,5,5,5
10,5.0,5,2,2,2,5,5,5
11,5.0,5,5,2,5,5,5,5
12,5.0,5,1,1,2,4,5,5
13,5.0,5,5,5,5,5,5,5
14,5.0,3,1,2,2,2,5,5
15,2.0,3,5,1,2,4,4,4
16,5.0,5,5,5,5,5,5,5
17,5.0,5,1,1,1,1,5,4
18,5.0,5,5,5,5,5,5,5
19,4.0,2,5,4,5,5,5,4
20,4.0,2,1,2,1,4,5,4
21,5.0,5,5,3,5,5,5,5
22,4.0,5,5,3,2,5,5,5
23,4.0,5,5,4,4,4,5,5
24,5.0,5,5,5,5,5,5,5
25,5.0,5,5,5,5,5,5,5
26,5.0,5,5,5,5,5,5,5
27,5.0,5,5,5,5,5,5,5
28,3.0,5,5,4,5,5,5,5
29,5.0,5,5,5,5,5,5,5
30,4.0,5,5,5,5,5,4,5
31,5.0,5,5,5,2,5,5,4
32,4.0,5,5,5,5,5,4,5
33,5.0,3,1,3,2,5,5,4
34,5.0,5,5,4,5,5,5,5
35,5.0,5,1,1,1,3,5,5
36,5.0,5,1,1,1,2,5,5
37,5.0,5,5,4,4,5,5,5
38,5.0,5,5,5,5,5,5,5
39,5.0,5,1,2,4,4,5,5
40,5.0,5,5,5,5,5,5,5
41,5.0,5,1,4,5,5,5,5
42,5.0,5,1,1,2,1,5,5
43,5.0,5,5,4,5,5,5,5
44,5.0,5,5,5,5,5,5,5
45,5.0,5,1,1,1,1,5,5
46,5.0,5,5,4,5,5,5,5
47,5.0,5,5,4,1,4,4,4
48,4.0,5,4,4,5,5,5,5
49,5.0,5,1,1,1,1,5,5
