,1_0,1_1,2_0,2_1,3_0,3_1,4_0,4_1,5_0,5_1
0,3,4.0,5,5,4.0,4,3,2,,
1,4,3.0,1,1,4.0,2,2,2,,
2,3,3.0,1,3,4.0,4,2,2,,
3,4,3.0,5,5,5.0,5,3,3,,
4,4,3.0,5,4,4.0,5,3,4,,
5,3,2.0,5,5,4.0,4,2,2,,
6,3,2.0,5,3,4.0,5,3,2,,
7,4,4.0,1,1,4.0,4,3,2,,
8,5,3.0,3,1,4.0,4,2,2,,
9,3,4.0,5,5,4.0,4,2,2,,
10,3,2.0,4,3,4.0,4,3,3,,
11,4,2.0,4,4,4.0,4,2,2,,
12,4,3.0,5,3,4.0,4,5,4,,
13,2,3.0,4,5,4.0,3,1,1,,
14,3,2.0,5,5,4.0,4,4,3,,
15,4,4.0,1,2,3.0,2,5,4,,
16,4,3.0,1,2,1.0,2,2,3,,
17,3,3.0,5,5,4.0,4,2,2,,
18,4,5.0,5,5,4.0,5,5,2,,
19,4,4.0,4,3,4.0,2,5,4,,
20,4,4.0,5,3,5.0,2,4,2,,
21,4,3.0,1,1,4.0,4,3,2,,
22,3,2.0,4,1,4.0,2,4,2,,
23,1,1.0,1,1,4.0,2,2,2,,
24,2,2.0,1,5,4.0,2,2,1,,
25,3,3.0,1,1,1.0,1,2,2,,
26,4,4.0,5,3,4.0,5,3,3,,
27,3,4.0,4,5,4.0,3,4,2,,
28,3,4.0,5,5,4.0,4,4,2,,
29,5,5.0,4,5,4.0,5,5,5,,
30,3,3.0,1,1,1.0,2,2,2,,
31,5,5.0,5,5,4.0,5,5,4,,
32,4,5.0,5,5,4.0,4,3,3,,
33,2,2.0,5,3,4.0,2,2,1,,
34,3,4.0,5,5,5.0,4,3,2,,
35,2,3.0,5,5,4.0,2,2,2,,
36,4,5.0,5,5,5.0,4,3,3,,
37,4,2.0,2,1,4.0,4,3,3,,
38,3,3.0,1,5,5.0,2,2,2,,
39,4,4.0,5,5,5.0,5,4,3,,
40,4,3.0,4,5,5.0,4,3,2,,
41,4,4.0,1,1,4.0,2,4,3,,
42,3,4.0,5,5,5.0,4,2,2,,
43,3,2.0,1,3,5.0,2,2,2,,
44,3,3.0,1,1,3.0,2,2,2,,
45,4,1.0,3,3,5.0,4,3,3,,
46,3,4.0,5,3,5.0,2,2,2,,
47,3,2.0,1,3,4.0,4,2,1,,
48,4,3.0,5,1,4.0,4,3,3,,
49,3,3.0,5,3,5.0,4,3,2,,
