,1_0,1_1,2_0,2_1,3_0,3_1,4_0,4_1
0,1.0,2,1,1,1,1,2,2
1,5.0,5,5,5,5,5,5,5
2,5.0,5,5,5,2,5,4,5
3,4.0,5,5,4,5,5,5,5
4,2.0,1,1,1,2,2,2,4
5,3.0,3,2,5,5,5,3,5
6,2.0,2,5,1,5,5,5,5
7,5.0,5,5,5,5,5,5,5
8,3.0,5,5,5,5,5,5,4
9,3.0,2,5,1,2,4,2,3
10,2.0,2,1,1,2,4,1,4
11,4.0,2,5,1,5,5,4,5
12,1.0,1,1,1,1,4,3,1
13,5.0,5,5,5,5,5,5,5
14,3.0,3,2,2,1,2,3,2
15,4.0,3,5,3,4,4,2,3
16,5.0,5,5,4,5,5,4,5
17,3.0,2,1,1,1,1,1,1
18,5.0,5,5,5,4,5,5,5
19,5.0,4,5,4,5,5,3,5
20,4.0,2,2,1,1,2,3,4
21,4.0,2,5,3,5,5,5,5
22,3.0,4,5,4,2,5,5,5
23,5.0,5,5,4,4,5,4,4
24,5.0,5,5,5,5,5,5,4
25,5.0,5,5,5,5,5,4,5
26,5.0,5,5,5,5,5,5,5
27,5.0,5,5,5,5,5,5,5
28,3.0,4,5,4,5,4,5,5
29,5.0,5,5,4,5,5,5,5
30,3.0,5,5,5,5,5,4,5
31,3.0,5,5,5,5,5,5,5
32,4.0,5,5,5,5,5,5,5
33,3.0,4,2,3,5,5,3,4
34,3.0,5,5,4,5,5,4,5
35,2.0,2,1,1,1,2,2,2
36,1.0,2,1,1,1,1,1,3
37,1.0,2,5,3,5,4,2,4
38,5.0,5,5,5,5,5,4,5
39,4.0,2,2,2,4,3,2,2
40,5.0,3,5,5,5,5,5,5
41,1.0,1,1,4,5,5,3,2
42,1.0,1,1,1,2,1,2,1
43,5.0,5,5,4,5,5,5,3
44,5.0,5,5,5,5,5,5,5
45,2.0,2,2,1,1,1,1,2
46,5.0,5,5,4,5,5,5,5
47,4.0,4,5,4,5,4,5,5
48,5.0,4,4,4,5,5,3,4
49,2.0,1,1,1,1,1,1,2
